CD_CLIENTE,INADIMPLENTE,NM_MUN,SG_UF,SCORE,TEM_AUXILIO,TEM_BOLSAFAMILIA,NM_REGIAO,CD_UF,CD_MUN,PF_CNT,PF_VOL,PF_ITS,PF_TPR,PF_GRV,PF_MRC,PF_TDC,PF_FRQ,PF_VLR,PF_REC,PF_ETB,PF_MOD01,PF_MOD02,PF_MOD03,PF_MOD04,Bancarizado,OCUPACAO,IDADE,CD_MESO
1,0,FEIRA DE SANTANA,BA,588,1,0,NORDESTE,29,2910800,1.88,62.74,0,0,1,0,74.11,92.67,1,38.99,1,0,0,67.67,101,1,3,42,2910
2,0,SAO PEDRO DO SUL,RS,243,1,0,SUL,43,4319406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,4319
3,0,RIO BRANCO,AC,305,1,0,NORTE,12,1200401,101,0,0,93.46,101,1,51,101,0,10.97,1,0,101,0,0,0,3,29,1200
4,0,NATAL,RN,485,1,0,NORDESTE,24,2408102,22.29,53.67,0,0,5.65,89.29,51,101,67.25,67.4,67.4,0,0,0,101,1,3,49,2408
5,1,BREVES,PA,129,1,0,NORTE,15,1501808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,1501
6,1,ITAGUAI,RJ,580,0,0,SUDESTE,33,3302007,1,78.42,7.39,0,1,0,51,76,64.18,38.99,1,0,0,51,101,1,1,57,3302
7,0,RIO DE JANEIRO,RJ,834,0,0,SUDESTE,33,3304557,1,90.12,0,6.99,5.35,1,51,101,101,20.74,1,0,101,0,101,1,3,55,3304
8,0,CAMPOS DOS GOYTACAZES,RJ,866,0,0,SUDESTE,33,3301009,1,73.55,101,85.55,5.17,1,89.08,101,31.21,81.05,69.87,0,92.67,101,101,1,3,59,3301
9,0,PIRACICABA,SP,756,0,0,SUDESTE,35,3538709,1,85.05,0,45.62,9.33,1,12.92,101,23.19,10.97,1,0,101,0,0,0,2,69,3538
10,0,ACARAU,CE,885,0,0,NORDESTE,23,2300200,0,0,1,0,0,0,0,0,0,0,1,0,0,26,0,0,3,38,2300
11,0,ESTEIO,RS,627,1,0,SUL,43,4307708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,4307
12,0,FORTALEZA,CE,718,0,0,NORDESTE,23,2304400,2.51,55.3,0,0,1,0,51,1,0,10.97,1,0,0,0,76,1,1,50,2304
13,0,TERESINA,PI,370,1,0,NORDESTE,22,2211001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,2211
14,1,NILOPOLIS,RJ,644,1,0,SUDESTE,33,3303203,14.83,65.97,0,0,1,0,12.92,101,1,10.97,1,0,0,0,101,1,1,55,3303
15,0,BELO HORIZONTE,MG,413,1,0,SUDESTE,31,3106200,101,0,1,14.91,101,1,1.67,101,89.94,30.13,1,0,101,26,9.33,0,2,46,3106
16,0,RIO BONITO,RJ,773,0,0,SUDESTE,33,3304300,4.57,54.43,0,72.63,1,0,51,1,0,20.74,1,0,101,0,101,1,5,69,3304
17,0,GOIATUBA,GO,550,0,0,CENTRO-OESTE,52,5209101,1.04,69.53,0,14.91,1,0,74.11,42.67,16.46,47.21,101,0,42.67,0,51,1,2,39,5209
18,0,JOAO PESSOA,PB,654,0,0,NORDESTE,25,2507507,9.37,1,0,96.79,1,0,51,9.33,0,10.97,1,0,101,0,0,0,3,44,2507
19,0,FORTALEZA,CE,735,0,0,NORDESTE,23,2304400,3.51,56.57,0,24.55,1,0,51,1,0,20.74,1,0,101,0,101,1,3,38,2304
20,1,BRASILIA,DF,366,0,0,CENTRO-OESTE,53,5300108,87.03,1,0,0,82.82,1,1.67,101,20.88,0,101,0,92.67,0,0,0,3,40,5300
21,0,BRAGANCA PAULISTA,SP,421,1,0,SUDESTE,35,3507605,0,0,1.9,0,0,0,0,0,0,10.97,1,0,0,92.67,0,0,3,63,3507
22,0,HORTOLANDIA,SP,661,0,0,SUDESTE,35,3519071,20.3,11.62,0,0,1,0,51,1,0,10.97,1,0,0,0,101,1,3,46,3519
23,1,RIO DE JANEIRO,RJ,393,1,0,SUDESTE,33,3304557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,3304
24,0,RIO DE JANEIRO,RJ,542,0,0,SUDESTE,33,3304557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,3304
25,0,BALNEARIO CAMBORIU,SC,0,0,0,SUL,42,4202008,1.16,91.15,0,0,1,0,51,1,0,20.74,1,0,0,0,101,1,3,65,4202
26,1,SANTA INES,MA,536,1,0,NORDESTE,21,2109908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,2109
27,1,VILA VELHA,ES,680,0,0,SUDESTE,32,3205200,6.66,43.4,0,0,1,0,51,51,0,30.13,94.11,0,0,0,101,1,2,56,3205
28,0,VILA VELHA,ES,570,0,0,SUDESTE,32,3205200,101,1,0,0,1,0,51,1,0,0,1,0,0,0,42.67,0,3,53,3205
29,1,NITEROI,RJ,603,1,1,SUDESTE,33,3303302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,3303
30,1,ALVORADA,RS,745,1,0,SUL,43,4300604,1.31,77.48,0,0,1,0,51,1,0,20.74,1,0,0,0,101,1,3,38,4300
31,1,MACHADINHO D OESTE,RO,93,0,0,NORTE,11,1100130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,1100
32,0,VOLTA REDONDA,RJ,226,0,0,SUDESTE,33,3306305,65.83,32.64,0,66.27,12.21,1,1.09,101,84.12,72.63,1,0,101,0,101,1,5,78,3306
33,0,RIO DE JANEIRO,RJ,595,0,0,SUDESTE,33,3304557,8.13,40.42,101,75.43,12.54,84.83,1.03,101,101,94.54,50.42,0,101,101,101,1,6,53,3304
34,0,SAO JOSE,SC,686,1,0,SUL,42,4216602,8.34,24.25,0,96.79,1,0,51,26,0,10.97,1,0,101,0,0,0,3,42,4216
35,0,GRAVATAI,RS,411,0,0,SUL,43,4309209,86.14,1,0,16.86,89.24,1,1,101,101,38.99,1,0,101,0,101,1,2,40,4309
36,0,RIO DO SUL,SC,330,0,0,SUL,42,4214805,99.53,3.46,101,38.99,1,0,74.11,84.33,1,20.74,1,0,92.67,101,0,0,3,44,4214
37,0,CONTAGEM,MG,707,0,0,SUDESTE,31,3118601,56.32,1.39,0,0,1,0,12.92,92.67,1,10.97,1,0,0,0,101,1,2,62,3118
38,1,FUNDAO,ES,283,0,0,SUDESTE,32,3202207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,3202
39,0,SALVADOR,BA,775,0,0,NORDESTE,29,2927408,1,101,0,86.65,1,1,100.8,101,100.3,99.01,34.25,0,101,0,101,1,5,79,2927
40,0,SANTA ROSA,RS,892,0,0,SUL,43,4317202,1,101,101,74.52,2.14,1,74.11,101,90.68,96.62,19.98,0,101,101,101,1,3,38,4317
41,0,SAO PAULO,SP,703,1,1,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,3550
